iter	Logloss
0	0.6792353928
1	0.6660298811
2	0.6531847592
3	0.6412771016
4	0.6305111897
5	0.6198134399
6	0.6097071619
7	0.5995181672
8	0.5902602158
9	0.5817286222110	0.5736562298111	0.5659304864112	0.5584914794113	0.5511991046114	0.5445227154115	0.5380730632
16	0.531710953
17	0.5259329013
18	0.5201905822
19	0.5148457496
20	0.5096224991
21	0.5044490359
22	0.4994636781
23	0.4948942521
24	0.4905218778
25	0.4859918414
26	0.4820224491
27	0.4782450636
28	0.474447523
29	0.4708554855
30	0.4672878281
31	0.4638589586
32	0.4605479005
33	0.4575207374
34	0.4544859936
35	0.4517420716
36	0.4486968931
37	0.4460634078
38	0.4434558049
39	0.4407850936
40	0.4381445023
41	0.4358992903
42	0.4336724045
43	0.4314747859
44	0.4292721607
45	0.4274501081
46	0.4255247726
47	0.4235267162
48	0.4216606178
49	0.4197710366
50	0.4181097632
51	0.4161938812
52	0.414696895
53	0.413115233
54	0.4114317427
55	0.4100358463
56	0.4088340042
57	0.4071089884
58	0.4059083047
59	0.4047512253
60	0.4030521358
61	0.4020094181
62	0.4006020721
63	0.3993191658
64	0.398050443
65	0.3966106408
66	0.3955878477
67	0.3945409952
68	0.3935897343
69	0.392537939
70	0.3912813198
71	0.3901413484
72	0.3891525831
73	0.3881943369
74	0.3872624141
75	0.3863597286
76	0.3852717527
77	0.3847014352
78	0.383673482
79	0.3827829433
80	0.3821142649
81	0.3813542866
82	0.3806696685
83	0.3798014685
84	0.3791875366
85	0.3781869462
86	0.3775714227
87	0.3765818617
88	0.3760037682
89	0.3751155227
90	0.3744070349
91	0.3736443061
92	0.3730897978
93	0.3723649769
94	0.3716486234
95	0.3709784197
96	0.3701899764
97	0.3695022927
98	0.3687815649
99	0.3684260189
