iter	Passed	Remaining
0	192	19060
1	242	11858
2	292	9460
3	356	8556
4	427	8128
5	498	7816
6	573	7625
7	653	7510
8	729	7372
9	802	7223
10	878	7104
11	952	6986
12	1026	6871
13	1101	6766
14	1182	6700
15	1258	6608
16	1338	6534
17	1413	6437
18	1490	6355
19	1567	6270
20	1643	6183
21	1723	6109
22	1802	6035
23	1880	5954
24	1955	5865
25	2032	5784
26	2109	5703
27	2187	5625
28	2261	5535
29	2337	5453
30	2412	5369
31	2476	5262
32	2532	5140
33	2585	5019
34	2639	4901
35	2693	4788
36	2749	4681
37	2827	4613
38	2893	4525
39	2949	4423
40	3005	4325
41	3083	4258
42	3158	4186
43	3236	4119
44	3316	4053
45	3396	3986
46	3472	3916
47	3551	3847
48	3605	3752
49	3658	3658
50	3708	3563
51	3768	3478
52	3831	3397
53	3891	3315
54	3946	3228
55	4001	3144
56	4056	3059
57	4117	2981
58	4194	2914
59	4276	2850
60	4354	2784
61	4434	2718
62	4512	2650
63	4586	2580
64	4664	2511
65	4742	2443
66	4817	2372
67	4896	2304
68	4978	2236
69	5053	2165
70	5131	2095
71	5194	2020
72	5248	1941
73	5301	1862
74	5366	1788
75	5448	1720
76	5510	1645
77	5574	1572
78	5632	1497
79	5688	1422
80	5744	1347
81	5792	1271
82	5839	1196
83	5894	1122
84	5943	1048
85	5995	975
86	6047	903
87	6102	832
88	6155	760
89	6208	689
90	6257	618
91	6308	548
92	6362	478
93	6408	409
94	6456	339
95	6507	271
96	6555	202
97	6601	134
98	6646	67
99	6689	0
