model,train_acc,test_acc,train_test_gap,cv_mean_f1,cv_std_f1,cv_test_gap,precision,recall,f1,roc_auc,pr_auc,ks,brier,threshold
ExtraTrees,0.7006,0.6965,0.0041,0.4307,0.0014,0.009,0.3035,0.7979,0.4397,0.8404,0.3231,0.5807,0.1697,0.6256
RandomForest,0.7523,0.7485,0.0038,0.4436,0.002,0.0048,0.308,0.763,0.4388,0.8398,0.3184,0.5848,0.1509,0.5315
LightGBM,0.8137,0.8082,0.0054,0.4043,0.0044,0.033,0.3065,0.7627,0.4373,0.8401,0.3212,0.5884,0.1146,0.3672
GradientBoosting,0.7401,0.7366,0.0034,0.4406,0.0021,0.0041,0.2987,0.8099,0.4364,0.836,0.3107,0.5835,0.1503,0.5228
DecisionTree,0.6912,0.6867,0.0045,0.4382,0.0027,0.0021,0.2988,0.8071,0.4361,0.8296,0.2976,0.5799,0.1702,0.5536
CatBoost,0.7336,0.7297,0.004,0.4396,0.001,0.0036,0.3009,0.7914,0.436,0.8356,0.3096,0.5823,0.1539,0.5589
AdaBoost,0.7149,0.7113,0.0035,0.432,0.0009,0.0029,0.2985,0.8007,0.4349,0.8339,0.3088,0.58,0.214,0.5039
GaussianNB,0.6399,0.6385,0.0014,0.3996,0.0011,0.0288,0.2837,0.8744,0.4284,0.8218,0.2942,0.5822,0.3615,1.0
NeuralNet,0.7227,0.7108,0.012,0.4265,0.0017,0.0012,0.2967,0.766,0.4277,0.834,0.3209,0.5645,0.171,0.6146
XGBoost,0.6772,0.6728,0.0043,0.421,0.0021,0.0064,0.2877,0.8305,0.4274,0.8329,0.3056,0.582,0.2127,0.6847
LogisticRegression,0.6399,0.6385,0.0014,0.3996,0.0011,0.0136,0.2931,0.7001,0.4132,0.8164,0.2925,0.5661,0.1918,0.6759
SGD,0.6399,0.6385,0.0014,0.3996,0.0011,0.0136,0.2932,0.6993,0.4132,0.8164,0.2931,0.5661,0.182,0.6522
KNN,0.7896,0.7329,0.0567,0.4058,0.0036,0.0015,0.2692,0.8374,0.4074,0.808,0.2811,0.5507,0.1722,0.4444
BernoulliNB,0.6399,0.6385,0.0014,0.3996,0.0011,0.0016,0.2504,0.9699,0.398,0.7889,0.2494,0.5661,0.3563,0.9926
