id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
25418,Male,26,1,39.0,1,< 1 Year,No,52465.0,152.0,115,0
257969,Female,24,1,15.0,0,< 1 Year,No,29782.0,151.0,180,0
181389,Male,33,1,2.0,0,1-2 Year,Yes,20849.0,124.0,155,0
108277,Male,23,1,9.0,0,< 1 Year,No,23325.0,151.0,30,0
164965,Male,28,1,30.0,1,< 1 Year,No,27164.0,152.0,23,0
248773,Male,60,1,8.0,0,1-2 Year,Yes,22291.0,124.0,141,0
10704,Female,21,1,13.0,0,< 1 Year,Yes,30772.0,152.0,202,0
113024,Male,21,1,8.0,0,< 1 Year,Yes,43024.0,160.0,89,1
297234,Female,24,1,21.0,1,< 1 Year,No,25202.0,152.0,72,0
243097,Female,25,1,47.0,0,< 1 Year,Yes,44558.0,151.0,242,0
148759,Female,44,1,41.0,0,1-2 Year,Yes,2630.0,156.0,96,0
276752,Male,43,1,28.0,1,1-2 Year,No,31877.0,124.0,26,0
218720,Male,21,1,6.0,1,< 1 Year,No,23057.0,160.0,259,0
265519,Female,47,1,3.0,1,1-2 Year,No,26725.0,26.0,207,0
110106,Male,42,1,41.0,1,1-2 Year,No,33884.0,26.0,219,0
315842,Female,53,1,28.0,0,1-2 Year,Yes,31954.0,124.0,213,0
49390,Female,48,1,28.0,1,1-2 Year,No,32167.0,26.0,172,0
284569,Female,23,1,10.0,1,< 1 Year,No,28507.0,152.0,122,0
95262,Male,41,1,36.0,0,1-2 Year,Yes,22659.0,154.0,87,0
178131,Female,20,1,15.0,0,< 1 Year,Yes,29332.0,160.0,130,0
366928,Female,30,1,50.0,1,< 1 Year,No,28987.0,152.0,93,0
163,Male,78,1,28.0,1,1-2 Year,No,42462.0,26.0,54,0
249208,Female,23,1,21.0,1,< 1 Year,No,2630.0,152.0,67,0
247245,Female,78,1,46.0,0,1-2 Year,Yes,28566.0,26.0,23,0
60229,Female,23,1,41.0,1,< 1 Year,No,25825.0,152.0,281,0
84684,Male,24,1,7.0,0,< 1 Year,Yes,40482.0,152.0,256,0
137285,Male,33,1,28.0,0,> 2 Years,Yes,55367.0,26.0,192,0
131476,Male,63,1,28.0,0,> 2 Years,Yes,38252.0,26.0,231,0
322138,Female,62,1,28.0,0,1-2 Year,Yes,28558.0,124.0,193,0
352781,Female,40,1,41.0,1,1-2 Year,No,32864.0,12.0,73,0
17727,Female,20,1,15.0,1,< 1 Year,No,35441.0,160.0,27,0
163435,Female,21,1,35.0,0,< 1 Year,Yes,30538.0,160.0,197,0
377552,Male,28,1,35.0,0,< 1 Year,Yes,25652.0,152.0,182,0
216446,Male,59,1,28.0,1,1-2 Year,No,35791.0,26.0,177,0
127305,Female,25,1,41.0,1,< 1 Year,No,35831.0,152.0,68,0
161520,Female,23,1,46.0,0,< 1 Year,Yes,23628.0,152.0,298,0
276322,Female,72,1,28.0,0,1-2 Year,Yes,32026.0,13.0,202,1
306669,Male,43,1,35.0,0,1-2 Year,Yes,30589.0,26.0,291,0
226227,Male,50,1,28.0,0,> 2 Years,Yes,50709.0,26.0,126,1
46172,Female,22,1,25.0,0,< 1 Year,Yes,49643.0,152.0,54,0
76202,Female,41,1,46.0,0,1-2 Year,Yes,30388.0,26.0,60,0
162651,Male,25,1,47.0,1,< 1 Year,No,2630.0,152.0,219,0
288353,Male,79,1,28.0,1,1-2 Year,No,55641.0,61.0,23,0
299043,Male,38,1,28.0,0,1-2 Year,Yes,33325.0,26.0,68,0
97552,Male,47,1,29.0,1,1-2 Year,No,2630.0,26.0,221,0
83405,Male,35,1,45.0,1,1-2 Year,No,44306.0,152.0,22,0
313405,Male,57,1,28.0,0,1-2 Year,Yes,50364.0,124.0,194,0
161475,Male,50,1,8.0,0,1-2 Year,Yes,48023.0,26.0,283,0
117358,Female,29,1,33.0,0,< 1 Year,Yes,30322.0,152.0,298,0
172599,Female,66,1,12.0,1,1-2 Year,No,28478.0,124.0,38,0
72681,Male,23,1,28.0,0,< 1 Year,Yes,33241.0,152.0,281,0
176038,Female,22,1,28.0,1,< 1 Year,No,37702.0,152.0,50,0
184231,Male,78,1,15.0,1,1-2 Year,No,31700.0,26.0,61,0
330679,Female,22,1,6.0,0,< 1 Year,Yes,22645.0,152.0,185,0
345098,Female,28,1,43.0,1,< 1 Year,No,37278.0,152.0,160,0
321720,Male,45,1,29.0,0,1-2 Year,Yes,29744.0,26.0,19,1
70620,Male,50,1,41.0,0,1-2 Year,Yes,29379.0,26.0,296,0
279677,Male,33,1,8.0,0,< 1 Year,Yes,33081.0,156.0,40,1
146024,Female,24,1,17.0,1,< 1 Year,No,46297.0,152.0,129,0
237333,Female,46,1,28.0,0,1-2 Year,Yes,24557.0,124.0,198,0
69803,Female,50,1,28.0,0,1-2 Year,Yes,46165.0,26.0,213,0
35466,Male,40,1,28.0,1,1-2 Year,No,2630.0,124.0,209,0
346037,Female,21,1,46.0,1,< 1 Year,No,23692.0,152.0,196,0
102655,Male,43,1,0.0,1,1-2 Year,No,2630.0,25.0,43,0
307637,Female,23,1,28.0,1,< 1 Year,No,41305.0,152.0,256,0
65075,Male,24,1,50.0,1,< 1 Year,No,39859.0,151.0,127,0
204881,Male,61,1,38.0,0,1-2 Year,Yes,23366.0,26.0,182,0
20023,Male,55,1,3.0,0,1-2 Year,No,28580.0,26.0,216,0
201473,Male,45,1,4.0,0,1-2 Year,No,29738.0,11.0,188,0
211424,Female,38,1,28.0,0,1-2 Year,Yes,42171.0,26.0,163,1
300669,Female,33,1,30.0,1,< 1 Year,No,2630.0,152.0,167,0
291055,Female,45,1,13.0,0,1-2 Year,Yes,2630.0,157.0,180,0
5348,Male,37,1,28.0,0,1-2 Year,Yes,46998.0,125.0,83,1
76076,Female,29,1,28.0,0,1-2 Year,Yes,44171.0,124.0,236,0
319350,Male,50,1,28.0,0,1-2 Year,Yes,39057.0,26.0,73,1
45521,Male,42,1,47.0,0,> 2 Years,Yes,31525.0,124.0,231,1
271610,Female,25,1,50.0,1,< 1 Year,No,20467.0,160.0,202,0
107685,Male,22,1,12.0,1,< 1 Year,No,26094.0,160.0,193,0
126630,Female,24,1,17.0,1,< 1 Year,No,31612.0,160.0,42,0
276977,Male,46,1,11.0,0,1-2 Year,Yes,2630.0,156.0,24,0
57294,Male,61,1,28.0,1,1-2 Year,No,38903.0,26.0,295,0
